Designator,Mid X,Mid Y,Rotation,Layer
C1,61.41,-53.65,90.0,bottom
C2,57.93,-49.29,0.0,bottom
C3,60.98,-32.61,270.0,bottom
J1,32.01,-76.46,0.0,top
J2,28.35,-41.49,0.0,top
J3,30.16,-31.28,270.0,top
J4,57.905,-40.49,180.0,top
J5,47.13,-76.46,0.0,top
K1,30.74,-66.26,0.0,top
PS1,33.02,-50.78,0.0,top
Q1,52.9525,-65.25,0.0,bottom
R1,58.02,-30.08,0.0,bottom
R2,49.93,-61.97,0.0,bottom
R3,61.1,-37.94,180.0,bottom
R4,61.19,-35.42,180.0,bottom
SW1,56.85,-65.43,0.0,top
U1,54.87,-54.8,180.0,bottom
U2,45.32,-35.05,180.0,bottom
